2025-03-27 19:24:01.282137, 18.14 ¡ÆC, 8.95 ¡ÆC, 50.83 %, 553.30 W/m2, 0.073 %, 4.32 %
2025-03-27 19:34:00.722577, 26.91 ¡ÆC, 16.43 ¡ÆC, 50.50 %, 680.53 W/m2, 0.029 %, 5.51 %
2025-03-27 19:35:09.362339, 28.29 ¡ÆC, 14.22 ¡ÆC, 56.55 %, 685.10 W/m2, 0.042 %, 5.55 %
2025-03-27 19:36:30.773934, 20.24 ¡ÆC, 19.33 ¡ÆC, 50.46 %, 506.04 W/m2, 0.055 %, 5.75 %
2025-03-27 19:36:39.166196, 22.50 ¡ÆC, 10.38 ¡ÆC, 50.43 %, 706.99 W/m2, 0.092 %, 6.74 %
2025-03-27 19:36:40.271790, 24.26 ¡ÆC, 15.51 ¡ÆC, 56.07 %, 651.23 W/m2, 0.066 %, 6.91 %
2025-03-27 19:36:41.275835, 29.87 ¡ÆC, 1.98 ¡ÆC, 54.46 %, 574.90 W/m2, 0.089 %, 6.82 %
2025-03-27 19:36:42.181463, 21.35 ¡ÆC, 2.58 ¡ÆC, 55.13 %, 509.47 W/m2, 0.089 %, 6.40 %
2025-03-27 19:36:43.193807, 19.83 ¡ÆC, 4.41 ¡ÆC, 50.70 %, 517.16 W/m2, 0.080 %, 4.72 %
2025-03-27 20:05:18.203925, 26.84 ¡ÆC, 18.95 ¡ÆC, 55.48 %, 541.01 W/m2, 0.062 %, 5.59 %
2025-03-27 20:05:31.268660, 23.62 ¡ÆC, 15.26 ¡ÆC, 52.08 %, 621.53 W/m2, 0.073 %, 5.90 %
2025-03-27 20:07:52.587038, 19.16 ¡ÆC, 15.22 ¡ÆC, 59.33 %, 513.04 W/m2, 0.083 %, 5.46 %
